     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0498    -1.6601     1.3500    -1.6018    -1.0179     0.7074     0.2767   -12.0766     2.1349     0.3141
    1.0493    -1.6608     1.3526    -1.6010    -1.0142     0.7082     0.2827   -14.4763     2.1326     0.3108
    1.0542    -1.6573     1.3467    -1.6067    -1.0168     0.7148     0.2801   -12.0139     2.1289     0.3139
    1.0585    -1.6500     1.3528    -1.6037    -1.0113     0.7111     0.2874   -19.7044     2.1233     0.3093
    1.0536    -1.6578     1.3526    -1.6022    -1.0165     0.7114     0.2822   -12.3230     2.1285     0.3080
    1.0563    -1.6563     1.3534    -1.6001    -1.0190     0.7146     0.2775   -12.4754     2.1314     0.3107
    1.0535    -1.6596     1.3549    -1.5951    -1.0233     0.7135     0.2740   -19.5595     2.1369     0.3161
    1.0513    -1.6567     1.3507    -1.6044    -1.0122     0.7083     0.2836   -11.2103     2.1274     0.3096
    1.0523    -1.6568     1.3525    -1.5983    -1.0157     0.7089     0.2786   -13.6086     2.1365     0.3158
    1.0532    -1.6594     1.3543    -1.5956    -1.0216     0.7107     0.2764   -19.9219     2.1386     0.3158
    1.0541    -1.6583     1.3495    -1.6050    -1.0197     0.7149     0.2793   -10.8019     2.1283     0.3084
    1.0587    -1.6521     1.3522    -1.6025    -1.0175     0.7138     0.2809   -12.2607     2.1263     0.3095
    1.0627    -1.6529     1.3508    -1.6031    -1.0246     0.7209     0.2749   -14.0087     2.1279     0.3110
    1.0492    -1.6595     1.3529    -1.6007    -1.0145     0.7091     0.2826   -20.4252     2.1296     0.3110
    1.0525    -1.6575     1.3476    -1.6066    -1.0180     0.7091     0.2812   -28.9680     2.1305     0.3075
    1.0528    -1.6594     1.3462    -1.6046    -1.0230     0.7140     0.2774   -19.5710     2.1328     0.3161
    1.0553    -1.6578     1.3518    -1.6026    -1.0195     0.7160     0.2794   -14.7514     2.1273     0.3099
    1.0544    -1.6565     1.3546    -1.5943    -1.0204     0.7097     0.2736   -11.0816     2.1399     0.3191
    1.0517    -1.6585     1.3550    -1.5982    -1.0167     0.7119     0.2817   -12.3325     2.1294     0.3125
    1.0538    -1.6569     1.3526    -1.6025    -1.0142     0.7132     0.2832   -19.0274     2.1271     0.3105
    1.0513    -1.6589     1.3524    -1.5998    -1.0181     0.7099     0.2790   -11.7485     2.1327     0.3128
    1.0542    -1.6584     1.3473    -1.6070    -1.0200     0.7139     0.2783   -11.9708     2.1287     0.3094
    1.0491    -1.6606     1.3549    -1.5977    -1.0155     0.7096     0.2812   -17.4544     2.1318     0.3133
    1.0638    -1.6448     1.3513    -1.6075    -1.0107     0.7121     0.2873   -11.1644     2.1190     0.3042
    1.0496    -1.6622     1.3549    -1.5953    -1.0228     0.7122     0.2774   -11.7991     2.1351     0.3146
    1.0562    -1.6550     1.3560    -1.5957    -1.0190     0.7138     0.2772   -14.9335     2.1320     0.3153
    1.0522    -1.6577     1.3523    -1.5980    -1.0174     0.7078     0.2768   -11.5302     2.1386     0.3163
    1.0560    -1.6550     1.3511    -1.6046    -1.0169     0.7143     0.2815   -11.5435     2.1247     0.3081
    1.0528    -1.6580     1.3492    -1.6035    -1.0188     0.7113     0.2780   -12.8810     2.1312     0.3128
    1.0541    -1.6594     1.3517    -1.6027    -1.0207     0.7196     0.2772   -15.0973     2.1263     0.3109
    1.0548    -1.6554     1.3475    -1.6083    -1.0124     0.7120     0.2807   -16.8033     2.1272     0.3104
    1.0631    -1.6430     1.3519    -1.6088    -1.0059     0.7092     0.2923   -12.8764     2.1162     0.3014
    1.0557    -1.6559     1.3487    -1.6062    -1.0181     0.7149     0.2802   -17.5865     2.1263     0.3102
    1.0556    -1.6569     1.3575    -1.5910    -1.0259     0.7117     0.2738   -11.9282     2.1403     0.3157
    1.0562    -1.6555     1.3569    -1.5931    -1.0228     0.7137     0.2761   -14.4617     2.1341     0.3172
    1.0523    -1.6578     1.3534    -1.5980    -1.0178     0.7113     0.2785   -16.3822     2.1333     0.3160
    1.0527    -1.6592     1.3514    -1.5997    -1.0227     0.7122     0.2776   -12.7377     2.1333     0.3128
    1.0544    -1.6570     1.3483    -1.6042    -1.0197     0.7132     0.2777   -13.2474     2.1317     0.3132
    1.0603    -1.6527     1.3475    -1.6053    -1.0220     0.7178     0.2769   -12.7395     2.1289     0.3133
    1.0507    -1.6569     1.3524    -1.6036    -1.0112     0.7099     0.2863   -21.4899     2.1239     0.3091
    1.0557    -1.6566     1.3571    -1.5915    -1.0228     0.7108     0.2735   -13.2994     2.1416     0.3172
    1.0532    -1.6566     1.3505    -1.6032    -1.0163     0.7103     0.2807   -15.4028     2.1307     0.3105
    1.0518    -1.6569     1.3512    -1.6018    -1.0156     0.7095     0.2818   -11.5962     2.1305     0.3127
    1.0510    -1.6603     1.3536    -1.5991    -1.0178     0.7117     0.2806   -15.9758     2.1309     0.3134
    1.0501    -1.6575     1.3457    -1.6101    -1.0094     0.7089     0.2855   -16.0882     2.1261     0.3113
    1.0609    -1.6504     1.3528    -1.6025    -1.0164     0.7149     0.2814   -13.5104     2.1257     0.3094
    1.0584    -1.6535     1.3539    -1.5981    -1.0192     0.7152     0.2776   -14.7956     2.1317     0.3150
    1.0614    -1.6527     1.3523    -1.6025    -1.0201     0.7203     0.2766   -21.3497     2.1270     0.3110
    1.0554    -1.6572     1.3486    -1.6062    -1.0169     0.7143     0.2796   -19.9368     2.1285     0.3109
    1.0522    -1.6570     1.3518    -1.6036    -1.0129     0.7089     0.2836   -12.6524     2.1281     0.3084
    1.0595    -1.6501     1.3514    -1.6076    -1.0108     0.7142     0.2860   -19.1527     2.1190     0.3048
    1.0615    -1.6512     1.3564    -1.5937    -1.0221     0.7150     0.2742   -15.9766     2.1353     0.3189
    1.0510    -1.6603     1.3437    -1.6090    -1.0196     0.7117     0.2792   -13.0974     2.1310     0.3119
    1.0557    -1.6539     1.3467    -1.6131    -1.0107     0.7117     0.2883   -14.3344     2.1179     0.3015
    1.0682    -1.6389     1.3501    -1.6080    -1.0090     0.7108     0.2889   -16.0948     2.1193     0.3069
    1.0579    -1.6537     1.3515    -1.6004    -1.0187     0.7134     0.2767   -12.3160     2.1325     0.3158
